3997,"Talk Number"
100,"64","阎基，为何你家中有胡家刀*法的缺页。"
101,"65","胡家刀法，哦！那是我年轻*时在沧州无意间所获得的。"
102,"66","你为什麽有我胡家刀法的缺*页。"
103,"67","原来胡一刀的後人长这麽大*了。"
104,"68","小时後平四叔曾告诉我，当*年害死我父亲的，一个跌打*医生也有份，*不但如此，那跌打医生後来*还撕去几页胡家刀法。*莫非。。。那个人就是你！"
105,"69","既然你们认出来，我也就没*什麽好隐瞒的了。*没错，那跌打医生就是我。"
106,"6A","你为什麽要帮苗人凤要害死*我父亲。"
107,"6B","谁叫《雪山飞狐》一书在他*那呢？当初若不是让他们俩*傻呼呼的拼斗，又在苗人凤*剑上喂点毒药，我怎麽能坐*收渔翁之利呢？"
108,"6C","可恶的家伙，替我父亲偿命*来。"
109,"6D","若不是有准备，我怎敢说出*这些。**小娃儿，再试试我的新玩意，*天下至毒的""七心海棠""。"
110,"6E","你找到了？挺厉害的嘛！*断肠草的解药在这，*拿去吧。"
111,"6F","灵姑娘用毒，医术都极为高*明，有你陪伴闯荡江湖，旅*程将会十分安稳，*不知姑娘是否肯随我们四处*走走呢？"
112,"70","你臭美啊！跟你在一起一定*很无聊。"
113,"71","是啊，姑娘一个人住这里，*闷也闷慌了，就随我们到处*走走吧。"
114,"72","看在胡公子的面子上，我就*陪你们到处玩一玩。"
115,"73","苗大侠，我这就帮你敷上解*药。"
116,"74","苗大侠，你觉得怎麽样。"
117,"75","嗯！我觉得好多了。***少侠一路辛苦了，苗某不胜*感激。*这毒手药王也真是厉害，用*毒至深，想不到医术也是一*流。"
118,"76","药王他老人家已过世了，*这解药是他徒弟调制的。"
119,"77","难怪，当年我因为一件事曾*与药王有过冲突，所以当我*听说要去求毒手药王时，*我就劝你不要去。"
120,"78","是什麽事？"
121,"79","这一件事我到今日还是不能*明白。**十八年前，我误伤了一位好*友，只因兵刃上喂有剧毒，*见血封喉，竟尔无法挽救。*我想这毒药如此厉害，多半*与毒手药王有关，因此去向*他询问。*结果他一口否认，说他毫不*知情，想我一来不会说话，*二来心情甚恶，就打了起来"
122,"7A","如此说来，这位好朋友是你*亲手杀死的了？"
123,"7B","是的。"
124,"7C","这好朋友姓啥叫什麽？"
125,"7D","辽东大侠胡一刀。"
126,"7E","当真是你杀了我父亲。"
127,"7F","你是胡一刀的儿子！*好，快来将我杀了，替你爹*报仇。"
128,"80","且慢。这中间有很大的误会*。当年在苗大侠剑上偷偷喂*毒的是名叫阎基的人。他因*为知道苗，胡二人身上有两*本极重要的书，所以在两人*比武时偷偷喂上剧毒，想让*二人两败俱伤，他好坐收渔*翁之利。只是，当初你二人*为何比试，才让阎基这小人*从中搞鬼？"
129,"81","唉！当年我二人都在寻找十*四天书。当时，我二人各找*到一本，双方都想把对方的*书夺来，所以才相约比试。*其实，只要好好讲，或许我*们可以一起去找寻这些书，*但可能是听双方名声太大，*本就想互相较量一下，看看*是他的胡家刀法厉害，还是*我苗家剑法强。"
130,"82","这真是一场误会。一切都是*阎基那卑鄙小人所引起的，*所幸这个小人已无法再作恶*了。"
131,"83","照你这麽说，是我胡家刀法*比不上你苗家剑法，所以死*的才是我父亲。"
132,"84","其实我心中有个遗憾，当年*我砍到令尊手臂时，同时我*也被令尊的後着踢倒在地，*只因我剑上被喂上剧毒，令*尊才会毒发死亡。所以到底*是何者功夫高明，一直没有*答案。今天我看见你这麽大*了，我很高兴。但我更希望*你能学好胡家刀法，让胡家*刀法发扬光大。"
133,"85","胡大哥，你刚得到胡家刀法*的残页，想必还有许多未解*之处。苗大侠乃当时英雄，*定可给你指点一二。"
134,"86","可……可是他是我的杀父仇*人啊"
135,"87","苗大侠光明磊落，又是你父*亲昔日好友。当年之事纯属*误会。"
136,"88","我也希望你能留下来。当年*我曾与你爹连战三天三夜，*未分胜负。对胡家刀法，当*世恐怕没有人比我更了解。*你目前的武功，与你爹当年*相去甚远。你在我这里学好*胡家刀法，到时你若想报仇*，我们就轰轰烈烈的打一场*。你信不过我苗人凤吗？"
137,"89","好，那我就留下来潜心学习*胡家刀法。可是你别忘了，*我迟早有一天，要为父报仇*。"
138,"8A","很好。这位少侠，你救了苗*某性命，苗某理应有所报答*。但江湖有江湖的规矩。待*我将胡家刀法尽数传于胡斐*以后，你再来找我，若能胜*的了苗某手中剑，你想要的*天书自然奉上。"
139,"8B","如此甚好。胡大哥，你在此*安心学习刀法，小弟也要出*去四处磨练。咱们后会有期*。"
140,"8C","兄弟，保重。"
141,"8D","我家传的胡家刀法，真是奥*妙无穷啊。"
142,"8E","等胡斐学会了胡家刀法，小*兄弟再来向我挑战吧。"
143,"8F","胡斐的胡家刀法已经练成。*小兄弟，你可准备好了？"
144,"90","看来小兄弟还要再努力一番*才是。"
145,"91","小兄弟武艺高强，苗某佩服*。这本《飞狐外传》就交给*你啦。"
146,"92","多谢苗大侠。"
147,"93","胡大哥，你的刀法学的如何*了？"
148,"94","近来感觉有些进步。"
149,"95","哈哈，年轻人懂得谦虚，很*好。依你现在的武功，只怕*不比你爹当年差啦。怎么样*，你若想为父报仇，尽管动*手吧。"
150,"96","…………"
151,"97","胡大哥……"
152,"98","兄弟，我们走吧，我的仇已*经报了。"
153,"99","对嘛！这才是我的好大哥。"
154,"9A","走之前，把这个给你。这是*你爹当年留下来的一幅藏宝*图，理应交给他的后人。"
155,"9B","小兄弟，行走江湖记得多行*侠仗义。"
156,"9C","这位少侠想休息一下吗？10*两银子一晚。"
157,"9D","10两银子也没有，一边凉快*去！"
158,"9E","少侠慢走，欢迎下次光临"
159,"9F","少侠有何贵干哪？"
160,"A0","老朋友来了，还不出来欢迎*啊？"
161,"A1","呵呵，我当是谁，原来是田*大侠，稀客稀客啊。"
162,"A2","你这个冒牌的跌打医生，又*在这研究什么害人的法子呢*？"
163,"A3","小人这点手段，哪能瞒得了*田大侠。不知田大侠此来有*何贵干？"
164,"A4","这位少侠有些事情，要求你*助一臂之力。"
165,"A5","这位少侠英明神武，一表人*才，定是成大事之人。不知*有何吩咐？"
166,"A6","哪里哪里，阎大夫过奖了。"
167,"A7","我们现在要去对付苗人凤，*如此这般……"
168,"A8","嘿嘿，您就放心好啦。"
169,"A9","如此我就与你们同行吧。"
170,"AA","少侠的队伍已满，我就直接*去小村啦。如果要去对付苗*人凤，别忘了叫上我。"
171,"AB","一切按计划行事"
172,"AC","您就放心吧，嘿嘿"
173,"AD","苗兄，别来无恙？"
174,"AE","＜这个死阎基怎么还不动手*……＞"
175,"AF","着——！"
176,"B0","啊——"
177,"B1","哈哈，我看你是见不到她了*。这药是从毒手药王那弄来*的断肠草粉末，药效也真够*狠，现下你双眼已瞎，我看*""打遍天下无敌手""的金面佛*苗人凤，今日要上西天了，*小兄弟，咱们上！"
178,"B2","苗大侠莫慌，我来帮你。"
179,"B3","你是谁，在这做什么？"
180,"B4","唉，我叫狄云，是个不幸之*人。"
181,"B5","我要找些书，随便到这个山*洞来看看。"
182,"B6","你还是早些离去的好，免得*被我这个不幸之人连累。"
183,"B7","你到底发生了什么事，说来*听听。"
184,"B8","几年前，我随师父和师妹到*荆州去为我万震山万师叔祝*寿，但後来却被师叔他们诬*赖我勾结盗匪，偷了他万家*的金银珠宝，并意图非礼小*师娘。*而县府大人也没明察秋毫，*就把我关了起来。**后来听说我师父死了，我师*妹。。。师妹她。。她。。*竟嫁给了万师兄。"
185,"B9","你很爱你师妹，是吗？"
186,"BA","我师妹怎能…………*怎能嫁给那个姓万的。"
187,"BB","那你后来怎么离开那荆州大*牢，又怎么会在这里？"
188,"BC","在狱中的几年，同牢的丁典*丁大哥告诉了我许多江湖上*的事，也教了我""神照经""大*法。"
189,"BD","神照经？听起来很厉害的样*子……"
190,"BE","突然有一天，丁大哥带我逃*狱，说要去看一位朋友。但*想不到是丁大哥的红粉知己*死了，而她父亲，也就是荆*州府尹，居然在她女儿的棺*木上下毒，为的就是要害死*丁大哥，丁大哥后来就中毒*死了。而我逃走了，后来就*回到了这里。这个山洞，是*我和师妹以前儿时常来玩的*地方。"
191,"BF","看你也无家可归，和我一起*走吧，路上也有个照应。"
192,"C0","好吧！如果你不怕被我这个*不幸之人连累的话。"
193,"C1","不了！我这个不幸之人还是*别害人的好。"
194,"C2","你说那个什么神照经，拿出*来看看啊"
195,"C3","不行，这是丁大哥的遗物，*不能随便交给他人。"
196,"C4","哼，小子，不给我，我不会*硬抢吗？凡是书，我都不会*放过！"
197,"C5","""落~花~流~水~"""
198,"C6","这里怎么这么热闹？"
199,"C7","哼，邪魔歪道，人人得而诛*之！"
200,"C8","血刀老祖，你已经走投无路*了！"
201,"C9","你作恶多端，今日就让你血*债血偿。"
202,"CA","血刀老祖，看枪。"
203,"CB","小子，帮帮我，他们四个欺*负我一个。"
204,"CC","这个……听说……你是坏人*啊！"
205,"CD","小子，他们内力已经不行了*，你帮了我，我就送你一本*好书！"
206,"CE","〈书？难道是天书？〉"
207,"CF","这位少侠真要与我们为敌吗*？"
208,"D0","为了天书，只好如此了！"
209,"D1","少侠饶命，少侠饶命……"
210,"D2","喂，你刚才还正义凛然的，*现在怎么了？"
211,"D3","小人有眼不识泰山，不该与*少侠为敌啊"
212,"D4","哈哈哈，看你还挺识相的，*以后就跟着我吧。"
213,"D5","多谢少侠不杀之恩，花铁干*愿为少侠牵马坠镫。"
214,"D6","小子，你还不赖嘛，加入我*血刀门吧！"
215,"D7","废话少说，书在哪？"
216,"D8","够爽快，拿去！"
217,"D9","哼，我生平最看不起的就是*你这种人。受死吧！"
218,"DA","即便为了天书，我也不能做*违反道义之事，血刀老祖，*你觉悟吧！"
219,"DB","我等四人已经内力不济，多*亏少侠及时赶到。"
220,"DC","是啊，少侠，你是手刃血刀*老祖的大英雄啊"
221,"DD","回到中原后，我们一定为少*侠传名啊。"
222,"DE","少侠，感谢你的救命之恩，*这本刀法你拿去吧，后会有*期。"
223,"DF","小子，你脾气挺合老子胃口*，加入血刀门吧。"
224,"E0","血刀门有什么好？我倒是看*你手上这把刀不错，给我吧*。"
225,"E1","嘿嘿，好眼力，这把血刀是*老祖我的贴身兵器，凭什么*给你！"
226,"E2","小子，够狠!"
227,"E3","由于人类的浪费和污染，水*资源已经枯竭，这是世界上*剩下的唯一一盆淡水了，请*珍惜。"
228,"E4","世界上最后一盆淡水，也被*人用唐诗选辑给污染了，从*此世界上再也找不到干净的*水了……"
229,"E5","咦，有字显示出来了，""连*城诀……天宁寺大佛后……*"""
230,"E6","一盆干净的水"
231,"E7","一盆被污染了的水"
232,"E8","哗！这里可真热闹，想必各*位都是为那”连城诀”而来*的吧．*但是很对不起，这东西我先*定下，没你们的份了．"
233,"E9","连城诀终于找到了，丁大哥*也可以安息了。这是丁大哥*的遗物，就送给你吧。"
234,"EA","功德箱里有一些香火钱，现*在四下无人，我是不是拿来*一点花花？"
235,"EB","功德箱里已经没有钱了……"
236,"EC","银子太多了也没啥用，拿出*100两做慈善事业吧。"
237,"ED","我身上的银子也不多了……"
238,"EE","咦？这你们在做什么？一堆*大男人围着一个小姑娘……"
239,"EF","哪来的野小子，少关闲事，*一边凉快去！"
240,"F0","你凭什么这么横！你不让我*管，我就非管不可。"
241,"F1","看你还横！"
242,"F2","不敢不敢，少侠饶命……这*位少侠，你别杀我，我告诉*你一个秘密。"
243,"F3","秘密？什么秘密？说来听听*。"
244,"F4","这个小姑娘身上有个地图，*是关于高昌迷宫的。据说，*高昌迷宫中藏有无数的宝藏*。少侠，你饶了我，我帮你*找宝藏。"
245,"F5","你以为我傻啊，拿了地图我*不会自己找。"
246,"F6","像你这样的恶人，留在世上*何用？"
247,"F7","多谢少侠救命之恩"
248,"F8","＜这姑娘身上有藏宝图，我*应该杀了她拿宝藏呢，还是*……＞"
249,"F9","谁说我要救你？刚才那家伙*说了，你身上有什么宝藏图*，拿出来瞧瞧。"
250,"FA","啊，少侠，你，你……"
251,"FB","我怎么啦？我刚才杀了那个*家伙，只不过想独吞宝藏而*已。"
252,"FC","天啊，为什么，宝藏真的那*么重要？"
253,"FD","废话少说，把藏宝图交出来*！"
254,"FE","路见不平，拔刀相助，姑娘*不必客气了。敢问姑娘芳名*？"
255,"FF","我叫李文秀。对了少侠，这*位大叔中了毒针，你帮帮他*吧。"
256,"100","好的，我尽力而为吧。"
257,"101","你将地上之人反转过来，*见他背后有三块瘀青，于是*赶紧用小刀将他体内的毒针*取出。"
258,"102","你为什么要救我？是不是想*让我带你去高昌迷宫？"
259,"103","＜他也知道高昌迷宫？就算*是我也不能这么说呀。＞我*根本不知道什么高昌迷宫，*是这位姑娘求我帮你的。"
260,"104","哼，我谁也不相信！不过你*既然救了我，这三枚毒针就*送给你吧。"
261,"105","＜就这么点酬劳啊＞"
262,"106","我走了，你们不要跟来。"
263,"107","姑娘，你今后有何打算？"
264,"108","我也不知道，我爹娘都被那*些恶人害死了，我喜欢的人*又有了别的心上人……"
265,"109","如果姑娘不嫌弃的话，我们*一起闯荡江湖如何？"
266,"10A","我知道，少侠你这个人是很*好很好的，你的建议也是很*好很好的，可是，我偏偏不*喜欢，有什么法子？这匹白*马，从小和我一起长大，就*赠与少侠留作纪念吧，我要*走了……"
267,"10B","这里东西都是我的，是我的*，谁敢和我抢！"
268,"10C","芝麻开门——"
269,"10D","不过上天有好生之德，我姑*且饶你一命，快滚吧。"
270,"10E","此人似乎身中毒针而死，哇*，这毒针好厉害，正好为我*所用。"
271,"10F","翻来覆去找了N遍，再也找*不到黑血神针了。事实证明*，此人不是刺??。"
272,"110","一呀摸，二呀摸，摸到姐姐*的头发边……唉，我韦小宝*什么时候能离开这里，一定*要发大财，取一堆漂亮老婆*，开个特大的妓院，哈哈…*…"
273,"111","出去玩？＜这个家伙看着好*像挺能打的，跟着他不会吃*亏……我娘现在不在这……*哈哈，就这么定了……＞，*好啊，出去找漂亮老婆，好*爽好爽。"
274,"112","韦小宝随队行动"
275,"113","喂，你瞧，瞧……"
276,"114","什么人，胆敢擅闯神龙教！"
277,"115","呵呵呵……"
278,"116","什么啊？"
279,"117","大美女啊……"
280,"118","这个，小宝兄，那可是人家*的老婆啊。"
281,"119","啊？啊，我，就是来找找有*没有我要的书。"
282,"11A","想想办法，搞过来啊。"
283,"11B","你要找什么书？"
284,"11C","就是《鹿鼎记》一书。"
285,"11D","哦，还好，我这没有。"
286,"11E","那你这有什么书？"
287,"11F","没有……我哪有什么书？…*…什么也没有……"
288,"120","？？？你好像心里有鬼啊？"
289,"121","我有什么鬼？没有就是没有*，你要是再不滚蛋，就休怪*我不客气了！"
290,"122","哼，打就打，谁怕谁。"
291,"123","啊，这就开打啦，你们先上*，我掩护。"
292,"124","等一下，等一下，我还有件*重要的事……"
293,"125","？？？"
294,"126","千万要注意，别伤到美女。*好，你们继续！"
295,"127","这回不横了吧？还不把书拿*来。"
296,"128","这是什么书？看你的样子一*定有问题，我先替你保管着*吧。"
297,"129","这位美女，啊不，教主夫人*，仙福永享，寿与天齐，那*个，你若没什么事，跟我们*一起走吧。"
298,"12A","你说什么！休打我夫人的主*意。"
299,"12B","我原本以为呢，你就是武功*天下第一了，没想到随便来*几个人，就把你打得落花流*水，唉……"
300,"12C","我，我……"
301,"12D","你什么你，你都七老八十了*，还霸占着这么漂亮的美眉*，你够了你。夫人，咱们走*吧。"
302,"12E","走？好啊。*不过我为什么要跟你走啊？*我不会自己走吗*？"
303,"12F","人都走了，还傻看什么，小*宝，咱们也走吧，这没有要*找的书了。"
304,"130","夫人，夫人……"
305,"131","又是半部《四十二章经》？*这下我正好可以凑成一部了*……"
306,"132","小子，功夫不错嘛，加入我*神龙教吧"
307,"133","手下败将，你还好意思说啊*，我看你的神龙教解散算了*。"
308,"134","＜这教主那么老，夫人却这*么年轻……＞"
309,"135","不要总盯着我夫人看！！！"
310,"136","教主仙福永享，寿与天齐。"
311,"137","和平统一，一国两制"
312,"138","台湾是中国领土不可分割的*一部分"
313,"139","和解对话建和平双赢未来是*两岸人民心声"
314,"13A","众姐妹，别流泪，*丽春院里来相会，*陪掌门，挣小费，*不给江湖添累赘。"
315,"13B","爹和妈，半生苦，*老来待业很凄楚；* 弱女子，当自强，*开发身体养爹娘！"
316,"13C","无资金，无贷款，*自带设备搞生产。*不占地，不建房，*工作只要一张床。*无噪音，无污染，*紧要关头小声喊。*你三讲，我三陪，*咱两还分谁是谁。"
317,"13D","我的酒窝是新做的，漂亮吗*？"
318,"13E","我的鼻子是隆的，怎么样，*是不是很有波斯风韵？"
319,"13F","我刚做的丰胸手术，够不够*挺？"
320,"140","你说我像25？公子嘴真甜，*奴家今年52了，刚做了拉皮*，把皱纹全去了，谁也看不*出我究竟有多大。"
321,"141","我要减肥，减肥，再减肥，*生命不息，减肥不止……"
322,"142","嫖客：*看什么看，大爷我有的是钱*，想搞几个就搞几个！我老*爸是海沙帮帮主，谁也不敢*把我怎么样！"
323,"143","汪帮主，你可好久没来了，*想死奴家了"
324,"144","嫖客：*好宝贝儿，我这不是来了嘛*，来，亲一个"
325,"145","上次奴家和你说的事，怎么*样了，我三舅的邻居的外甥*女的男朋友，你到底安排了*没有啊？"
326,"146","嫖客：*宝贝儿求我，当然早就安排*好了，有个武馆科班出身的*小子，没啥背景，已经让我*撵到伙房去，你的三舅的邻*居的外甥女的男朋友来顶替*他的位置。别说这些啦，宝*贝快上来，今晚要和你大战*三百合。"
327,"147","嫖客：*我是第一次，有点紧张。要*是让我爹知道就麻烦了。"
328,"148","少侠，你放心，你爹也是我*的常客，不会怪你的啦。"
329,"149","这位少侠，你好帅哦，来里*边玩玩吧，我们这什么好玩*的都有，你喜欢什么类型的*？"
330,"14A","我们丽春院现在已经远近驰*名，慕名而来的人络绎不绝*，根本不用再搞什么叫一赠*一了。我们要垄断整个卖春*业，然后提价，再提价！"
331,"14B","夫人啊，我的夫人，你在哪*里啊，你在哪里？"
332,"14C","夫人，你回来了，太好了*……"
333,"14D","对不起，请叫我韦夫人。"
334,"14E","＜咦？这个妞好正点啊，我*韦小宝发誓一定要娶他做老*婆＞"
335,"14F","韦兄，你瞎叨咕什么呢？好*像有人受伤了。"
336,"150","冯锡范，你为何对我忽施暗*算？"
337,"151","我奉命拿你！"
338,"152","陈永华，你还把我放在眼里*么？"
339,"153","二公子何出此言？"
340,"154","嘿嘿，台湾就快成你姓陈的*一个人的了。"
341,"155","不，台湾绝不是姓陈的一个*人的，也不是某些人的，台*湾是所有台湾人的台湾，是*所有中国人的台湾。"
342,"156","你目无主上，不敬重我，就*是不敬重父王。我瞧你所作*所为，早有不臣之心，哼，*你在中原拚命培植自己势力*，扩充天地会，哪里还把台*湾郑家放在心上。你想自立*为王，是不是？"
343,"157","绝无此事！"
344,"158","你早得到此书，却不肯交给*我，你心里还有父王没有？"
345,"159","＜有书？＞"
346,"15A","二公子不用跟他多废话，看*我扁死他！"
347,"15B","扁我？我拼了这条命，也要*倒扁，坚决倒扁！"
348,"15C","不好，那是我师父，快救人*。"
349,"15D","哼，你竟敢害我师父，获得*不耐烦了，看我……"
350,"15E","你别杀他！"
351,"15F","＜乖乖，我老婆怎么帮他说*话，想让我当王八吗？＞"
352,"160","你别杀他，要杀就杀我吧。"
353,"161","好啊，那我就先杀你。"
354,"162","郑公子，永别了，我们来世*再做夫妻。"
355,"163","你们两个我只能放一个，你*说我该放谁呢？姓郑的，你*怎么不说话？"
356,"164","……求求你放了我，我……"
357,"165","郑公子！不要向他求饶！"
358,"166","求少侠放了我……"
359,"167","我要是放了你，就得杀这妞*！"
360,"168","郑公子，你是做大事的人，*还是让他杀了我吧……"
361,"169","……唉，没想到我老婆这么*喜欢这小白脸……算了，看*在我老婆的份上，今天就放*了你们……"
362,"16A","谁是你老婆？我死也不会嫁*给你！"
363,"16B","谢谢几位少侠……"
364,"16C","滚吧！"
365,"16D","师父，你没事吧。"
366,"16E","小宝，你来的正好。我没事*。多谢这位少侠相助。你的*事情我都听说了，虽然我没*有十四天书，但这里有半部*四十二章经，也许可以帮上*你的忙。"
367,"16F","多谢总舵主。人言""平生不*识陈近南，纵是英雄也枉然*""，今日能得见总舵主一面*，真乃三生有幸啊。"
368,"170","江湖上朋友的谬赞，少侠客*气了。"
369,"171","师父，我们好不容易见了面*，就一起多住几日。"
370,"172","小宝，师父还有要事。反清*复明的大业一日未成，为师*是不会休息的。小宝，这位*少侠，咱们后会有期。"
371,"173","总舵主慢走！"
372,"174","又是半部四十二章经？我看*看……哈哈，正好可以合成*一部完整的四十二章经。不*过这本书到底有什么用呢？*没什么用的话，拿在手里也*是累赘，还不如烧了算了。"
373,"175","小宝兄，你真强啊。这两个*美眉终于被你搞定啦。"
374,"176","那是，我自有妙计，哈哈*……"
375,"177","能不能传授兄弟几手？"
376,"178","这可不行，泡妞乃我看家本*领，从不外传。不过兄弟要*是需要帮忙……"
377,"179","好啊，求之不得啊"
378,"17A","没有兄弟的帮忙，我也搞不*到这两个如花似玉的美娇娘*，哈哈，老婆们，咱也帮帮*少侠的忙，跟我去小村！"
379,"17B","不必了，韦兄还是在此尽享*艳福吧。"
380,"17C","小宝这小鬼头，呵呵……"
381,"17D","小宝，这个小坏蛋，欺负我*，呜呜呜……"
382,"17E","哈哈哈……老婆乖……"
